,time,hrv_rnssd
0,2024-10-01T00:00:00.000,36.709
1,2024-10-01T00:05:00.000,35.114
2,2024-10-01T00:10:00.000,30.884
3,2024-10-01T00:25:00.000,31.352
4,2024-10-01T00:30:00.000,32.25
5,2024-10-01T00:40:00.000,36.918
6,2024-10-01T00:45:00.000,32.721
7,2024-10-01T00:50:00.000,53.415
8,2024-10-01T00:55:00.000,35.087
9,2024-10-01T01:00:00.000,54.425
10,2024-10-01T01:20:00.000,48.125
11,2024-10-01T01:25:00.000,57.614
12,2024-10-01T01:40:00.000,62.985
13,2024-10-01T01:45:00.000,59.482
14,2024-10-01T01:50:00.000,57.714
15,2024-10-01T01:55:00.000,62.55
16,2024-10-01T02:00:00.000,79.233
17,2024-10-01T02:05:00.000,76.835
18,2024-10-01T02:10:00.000,72.983
19,2024-10-01T02:15:00.000,80.486
20,2024-10-01T02:20:00.000,83.961
21,2024-10-01T02:25:00.000,80.804
22,2024-10-01T02:30:00.000,85.153
23,2024-10-01T02:35:00.000,99.12
24,2024-10-01T02:40:00.000,106.386
25,2024-10-01T02:45:00.000,94.798
26,2024-10-01T02:50:00.000,89.591
27,2024-10-01T02:55:00.000,93.192
28,2024-10-01T03:00:00.000,93.52
29,2024-10-01T03:05:00.000,99.368
30,2024-10-01T03:10:00.000,66.595
31,2024-10-01T03:15:00.000,67.161
32,2024-10-01T03:20:00.000,75.125
33,2024-10-01T03:25:00.000,72.049
34,2024-10-01T03:30:00.000,74.627
35,2024-10-01T03:35:00.000,74.186
36,2024-10-01T03:40:00.000,84.085
37,2024-10-01T03:45:00.000,88.71
38,2024-10-01T03:50:00.000,93.761
39,2024-10-01T03:55:00.000,84.942
40,2024-10-01T04:00:00.000,82.071
41,2024-10-01T04:05:00.000,71.012
42,2024-10-01T04:10:00.000,73.813
43,2024-10-01T04:15:00.000,86.407
44,2024-10-01T04:20:00.000,99.086
45,2024-10-01T04:25:00.000,97.853
46,2024-10-01T04:30:00.000,88.588
47,2024-10-01T04:35:00.000,83.48
48,2024-10-01T04:40:00.000,88.024
49,2024-10-01T04:45:00.000,88.351
50,2024-10-01T04:50:00.000,87.445
51,2024-10-01T04:55:00.000,89.744
52,2024-10-01T05:00:00.000,79.338
53,2024-10-01T05:05:00.000,74.439
54,2024-10-01T05:10:00.000,64.104
55,2024-10-01T05:15:00.000,30.49
56,2024-10-01T05:20:00.000,27.965
57,2024-10-01T05:25:00.000,35.187
58,2024-10-01T05:30:00.000,24.153
59,2024-10-01T06:45:00.000,88.784
60,2024-10-01T06:50:00.000,95.832
61,2024-10-01T06:55:00.000,79.312
62,2024-10-01T07:00:00.000,64.339
63,2024-10-01T07:05:00.000,76.796
64,2024-10-01T07:10:00.000,67.808
