,Date,Steps
0,2024-09-02,0
1,2024-09-03,0
2,2024-09-04,0
3,2024-09-05,0
4,2024-09-06,0
5,2024-09-07,0
6,2024-09-08,0
7,2024-09-09,6796
8,2024-09-10,6455
9,2024-09-11,9069
10,2024-09-12,8357
11,2024-09-13,8500
12,2024-09-14,8454
13,2024-09-15,3615
14,2024-09-16,6271
15,2024-09-17,21428
16,2024-09-18,3884
17,2024-09-19,6975
18,2024-09-20,6929
19,2024-09-21,1508
20,2024-09-22,0
21,2024-09-23,5666
22,2024-09-24,8978
23,2024-09-25,5389
24,2024-09-26,7449
25,2024-09-27,3590
26,2024-09-28,3813
27,2024-09-29,13552
28,2024-09-30,4555
29,2024-10-01,48
